number_in_set,set_id,start_time,end_time,reaction,,notes:
9,44,3:17,3:38,8,,youtube to mp3
10,44,3:47,3:52,9,,antibas preschool
11,44,3:56,4:22,6,,ads
12,44,4:24,4:51,7,,internet piracy
13,44,4:56,6:13,8,,tattoos
14,44,6:15,7:01,7,,underboob tattoos
15,44,7:04,7:24,7,,dad beat cancer
1,45,0:18,0:30,5,,diversity
2,45,0:32,1:12,8,,guy from big bang theory
3,45,1:16,2:16,7,,iowa as indian racism dogs
4,45,2:19,2:48,8,,brown is good
5,45,2:50,3:09,9,,pick up women starbucks
6,45,3:18,3:39,9,,dominatrix
7,45,4:00,4:28,7,,got a tinder
8,45,4:38,6:00,8,,indian parents dating
9,45,6:06,6:33,8,,dad doesn’t believe him
10,45,6:36,7:09,7,,problems with girls
11,45,7:12,7:36,10,,how to know ag student
12,45,7:40,7:52,7,,belt buckle
13,45,7:55,8:13,7,,nword buschlight
14,45,8:15,8:57,10,,rap music
15,45,9:05,9:25,7,,person of color
16,45,9:28,10:10,6,,baby indian guy
17,45,10:12,11:13,10,,running away
1,46,0:30,0:46,6,,feet
2,46,0:51,1:25,5,,america messed up
3,46,1:26,1:50,1,,free pet insurance
4,46,1:56,2:50,5,,yoga super weird
5,46,2:52,3:08,6,,wariier poses
6,46,3:14,4:15,7,,gender nutrul
7,46,4:16,5:04,8,,married in a month
8,46,5:06,5:15,8,,robbin williams
9,46,5:17,6:23,6,,suicide research
10,46,6:25,6:43,7,,cleaning up
11,46,6:45,7:30,6,,coffee drink
12,46,7:32,8:28,7,,neighbors
13,46,8:30,9:55,8,,breaking phones
1,47,0:16,9:55,6,,only child
2,47,0:40,1:34,7,,new child not satisfied
3,47,1:37,2:17,6,,relationships
4,47,2:21,2:58,5,,spotify
5,47,3:00,3:27,6,,fbi agent
6,47,3:28,4:05,7,,lamest reasons to stay alive
7,47,4:06,4:17,4,,group project
8,47,4:19,4:30,2,,outlive syneey
9,47,4:43,5:10,7,,summer job
10,47,5:12,5:41,7,,charcters at mall of america
11,47,5:43,6:06,7,,drug dealer
12,47,6:08,6:29,8,,long week working there
13,47,6:33,7:00,8,,losing weight
14,47,7:01,7:38,7,,making friends fatter
1,48,0:20,0:26,9,,skinny cptn americs
2,48,0:34,2:23,8,,cult at kids counceling
3,48,2:25,2:46,10,,grabbed kids stick
4,48,2:50,3:13,7,,whats going on
5,48,3:22,3:29,8,,magic stick
6,48,3:33,4:28,7,,ordered blueberry pancakes
7,48,4:30,4:58,8,,eating jelly packets
8,48,5:00,5:38,6,,waitres has food
9,48,5:41,6:14,7,,bull riding
10,48,6:16,7:23,6,,first person to bull ride
11,48,7:25,8:16,7,,need to ride the bull
